Course_name,Course_Type,Start_time,End_time,Locations,Staffs
Symbolic AI,Hoorcollege,2024-10-08 11:00:00,2024-10-08 12:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-10-10 15:15:00,2024-10-10 17:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-10-10 17:15:00,2024-10-10 19:00:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-10-11 09:00:00,2024-10-11 10:45:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Broekens, D.J.(Joost)"
Automata Theory,Werkcollege,2024-10-11 11:00:00,2024-10-11 12:45:00,Gorlaeus Building - BW.0.40,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Statistics for Computer Scientists,Hoorcollege,2024-10-11 13:15:00,2024-10-11 15:00:00,Lecture Hall - C3,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Statistics for Computer Scientists,Werkcollege,2024-10-11 15:15:00,2024-10-11 17:00:00,Gorlaeus Building - BW.0.40,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Automata Theory,Hoorcollege,2024-10-14 11:00:00,2024-10-14 12:45:00,Lecture Hall - C3,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Software Development,Hoorcollege,2024-10-14 13:15:00,2024-10-14 15:00:00,Lecture Hall - C3,"Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Software Development,Werkcollege,2024-10-14 15:15:00,2024-10-14 17:00:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Human-Agent Interaction,Hoorcollege,2024-10-15 09:00:00,2024-10-15 10:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Symbolic AI,Hoorcollege,2024-10-15 11:00:00,2024-10-15 12:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Human-Agent Interaction,Werkcollege,2024-10-16 09:00:00,2024-10-16 10:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - BW.0.39","Broekens, D.J.(Joost)"
Human-Agent Interaction,Digitaal,2024-10-16 13:00:00,2024-10-16 16:00:00,Universitair Sportcentrum - Hal,"Broekens, D.J.(Joost)"
Human-Agent Interaction,Digitaal,2024-10-16 13:00:00,2024-10-16 16:30:00,Universitair Sportcentrum - Multif,"Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-10-17 15:15:00,2024-10-17 17:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-10-17 17:15:00,2024-10-17 19:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-10-18 09:00:00,2024-10-18 10:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - DM.0.09-PC","Broekens, D.J.(Joost)"
Automata Theory,Werkcollege,2024-10-18 11:00:00,2024-10-18 12:45:00,Gorlaeus Building - BW.0.40,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Statistics for Computer Scientists,Hoorcollege,2024-10-18 13:15:00,2024-10-18 15:00:00,Lecture Hall - C3,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Statistics for Computer Scientists,Werkcollege,2024-10-18 15:15:00,2024-10-18 17:00:00,Gorlaeus Building - BW.0.40,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Automata Theory,Hoorcollege,2024-10-28 11:00:00,2024-10-28 12:45:00,Lecture Hall - C3,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Software Development,Hoorcollege,2024-10-28 13:15:00,2024-10-28 15:00:00,Lecture Hall - C3,"Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
